entry_time,entry_price,size,direction,exit_time,exit_price,pnl,pnl_pct,commission,slippage,duration_hours,strategy,coin,timeframe,is_winner
2018-01-01 05:15:00+00:00,13625.319255,0.07342947209349628,LONG,2018-01-01 09:15:00+00:00,13542.995115000002,-8.54,-0.6042,1.995,0.5,4.0,backtest,BTC,15m,False
2018-01-01 16:30:00+00:00,13155.644535,0.07598986110349372,LONG,2018-01-01 18:00:00+00:00,13023.20514,-12.55,-1.0067,1.9893,0.4996,1.5,backtest,BTC,15m,False
2018-01-01 20:00:00+00:00,13427.740515,0.07436021419782626,LONG,2018-01-02 00:15:00+00:00,13693.189980000001,17.22,1.9769,2.0167,0.499,4.25,backtest,BTC,15m,True
2018-01-02 00:30:00+00:00,13721.8575,0.07289558006603097,LONG,2018-01-02 02:15:00+00:00,13430.451415000001,-23.72,-2.1237,1.9793,0.4999,1.75,backtest,BTC,15m,False
2018-01-02 08:00:00+00:00,13406.63997,0.07443620879849536,LONG,2018-01-02 13:00:00+00:00,13705.28393,19.71,2.2276,2.0181,0.4987,5.0,backtest,BTC,15m,True
2018-01-02 13:15:00+00:00,13686.84,0.07306008129377359,LONG,2018-01-02 18:00:00+00:00,14017.977505,21.67,2.4194,2.0241,0.4997,4.75,backtest,BTC,15m,True
2018-01-02 19:30:00+00:00,14907.449999999999,0.06722676459866646,LONG,2018-01-02 21:15:00+00:00,14592.7,-23.64,-2.1114,1.9832,0.5008,1.75,backtest,BTC,15m,False
2018-01-03 01:45:00+00:00,14827.41,0.06743350277657362,LONG,2018-01-03 03:00:00+00:00,15162.434990000002,20.07,2.2595,2.0223,0.4997,1.25,backtest,BTC,15m,True
2018-01-03 03:15:00+00:00,15101.256854999998,0.06634693980462496,LONG,2018-01-03 03:45:00+00:00,14811.080755,-21.74,-1.9215,1.9846,0.5007,0.5,backtest,BTC,15m,False
2018-01-03 04:00:00+00:00,14887.429994999999,0.06715715406268682,LONG,2018-01-03 06:45:00+00:00,15235.008685,20.82,2.3347,2.0229,0.4996,2.75,backtest,BTC,15m,True
2018-01-03 07:00:00+00:00,15288.26031,0.06553593542024812,LONG,2018-01-03 08:00:00+00:00,14967.5125,-23.5,-2.098,1.9828,0.5007,1.0,backtest,BTC,15m,False
2018-01-03 08:30:00+00:00,15093.543,0.0662289136742195,LONG,2018-01-03 09:00:00+00:00,14801.585505000001,-21.82,-1.9343,1.9799,0.4996,0.5,backtest,BTC,15m,False
2018-01-03 13:30:00+00:00,14782.437524999998,0.06747847199466571,LONG,2018-01-03 16:00:00+00:00,15108.072185,19.46,2.2028,2.017,0.4985,2.5,backtest,BTC,15m,True
2018-01-03 16:15:00+00:00,15076.014239999999,0.06629689476523098,LONG,2018-01-03 17:45:00+00:00,14792.6,-21.27,-1.8799,1.9802,0.4995,1.5,backtest,BTC,15m,False
2018-01-03 22:00:00+00:00,14938.465499999998,0.06676823157725718,LONG,2018-01-03 23:15:00+00:00,14763.63449,-14.15,-1.1703,1.9832,0.4985,1.25,backtest,BTC,15m,False
2018-01-03 23:45:00+00:00,14926.969755,0.06672811873907408,LONG,2018-01-04 00:15:00+00:00,14789.58151,-11.65,-0.9204,1.9829,0.4978,0.5,backtest,BTC,15m,False
2018-01-04 02:00:00+00:00,15187.600005,0.06550956002986223,LONG,2018-01-04 05:00:00+00:00,14906.533005000001,-20.88,-1.8506,1.9714,0.4972,3.0,backtest,BTC,15m,False
2018-01-04 06:00:00+00:00,15106.639545,0.0657256413683251,LONG,2018-01-04 07:00:00+00:00,14807.602495000001,-22.12,-1.9795,1.9661,0.4962,1.0,backtest,BTC,15m,False
2018-01-04 13:00:00+00:00,14438.25552,0.06861843095139394,LONG,2018-01-04 16:00:00+00:00,14262.865000000002,-14.5,-1.2148,1.9694,0.4951,3.0,backtest,BTC,15m,False
2018-01-04 17:45:00+00:00,14656.214444999998,0.06750237577966946,LONG,2018-01-04 20:00:00+00:00,14973.5095,18.92,2.1649,2.0001,0.4944,2.25,backtest,BTC,15m,True
2018-01-04 20:15:00+00:00,15012.492494999999,0.06602981313161137,LONG,2018-01-04 20:45:00+00:00,14791.620490000001,-17.05,-1.4713,1.968,0.4954,0.5,backtest,BTC,15m,False
2018-01-04 21:00:00+00:00,14785.879244999998,0.06692980654309029,LONG,2018-01-04 23:00:00+00:00,14792.6,-2.02,0.0455,1.9797,0.4946,2.0,backtest,BTC,15m,False
2018-01-04 23:45:00+00:00,15067.06977,0.06567056432804973,LONG,2018-01-05 04:15:00+00:00,14762.605005000001,-22.45,-2.0207,1.9589,0.4945,4.5,backtest,BTC,15m,False
2018-01-05 08:00:00+00:00,15017.505,0.06574105002134632,LONG,2018-01-05 08:45:00+00:00,15417.097595000001,23.78,2.6608,2.0008,0.4934,0.75,backtest,BTC,15m,True
2018-01-05 09:45:00+00:00,15888.330194999999,0.062290664326339215,LONG,2018-01-05 16:00:00+00:00,16291.859995,22.64,2.5398,2.0045,0.4946,6.25,backtest,BTC,15m,True
2018-01-05 16:30:00+00:00,16408.230014999997,0.06045801153678821,LONG,2018-01-05 17:30:00+00:00,16777.607,19.83,2.2512,2.0064,0.4958,1.0,backtest,BTC,15m,True
2018-01-05 17:45:00+00:00,16658.325,0.059672417213649735,LONG,2018-01-05 22:45:00+00:00,17012.84932,18.65,2.1282,2.0093,0.4968,5.0,backtest,BTC,15m,True
2018-01-05 23:00:00+00:00,17058.795135,0.058383846928911014,LONG,2018-01-06 00:15:00+00:00,16711.64,-22.74,-2.0351,1.9716,0.4977,1.25,backtest,BTC,15m,False
2018-01-06 00:45:00+00:00,17006.499,0.058432542929928125,LONG,2018-01-06 02:30:00+00:00,16640.6755,-23.84,-2.1511,1.9661,0.4966,1.75,backtest,BTC,15m,False
