entry_time,entry_price,size,direction,exit_time,exit_price,pnl,pnl_pct,commission,slippage,duration_hours,strategy,coin,timeframe,is_winner
2020-08-11 12:45:00+00:00,3.11265555,321.429719391855,LONG,2020-08-11 13:00:00+00:00,2.91854,-64.83,-6.2363,1.9386,0.5,0.25,backtest,SOL,15m,False
2020-08-11 13:30:00+00:00,3.14327085,316.25129447284206,LONG,2020-08-11 19:30:00+00:00,3.16931455,5.74,0.8286,1.9964,0.4968,6.0,backtest,SOL,15m,True
2020-08-11 23:15:00+00:00,3.2516249999999998,305.90482782675855,LONG,2020-08-12 00:00:00+00:00,3.1830077,-23.46,-2.1102,1.9684,0.4971,0.75,backtest,SOL,15m,False
2020-08-12 01:15:00+00:00,3.21370605,308.7994821400978,LONG,2020-08-12 02:30:00+00:00,3.1968008,-7.7,-0.526,1.9796,0.4959,1.25,backtest,SOL,15m,False
2020-08-12 05:00:00+00:00,3.2312148,306.903278247968,LONG,2020-08-12 06:00:00+00:00,3.148425,-27.86,-2.5622,1.9579,0.4956,1.0,backtest,SOL,15m,False
2020-08-12 06:30:00+00:00,3.2160072,307.5031698953761,LONG,2020-08-12 07:45:00+00:00,3.36441695,43.12,4.6147,2.0235,0.4942,1.25,backtest,SOL,15m,True
2020-08-12 08:00:00+00:00,3.4006995,292.08575572450286,LONG,2020-08-12 09:15:00+00:00,3.57830995,49.34,5.2228,2.0385,0.4964,1.25,backtest,SOL,15m,True
2020-08-12 10:00:00+00:00,3.66183,272.6184104888222,LONG,2020-08-12 10:30:00+00:00,3.89805,61.84,6.4509,2.061,0.4989,0.5,backtest,SOL,15m,True
2020-08-12 11:00:00+00:00,3.9251615999999996,255.91789227246298,LONG,2020-08-12 11:15:00+00:00,3.75812,-45.22,-4.2557,1.9663,0.502,0.25,backtest,SOL,15m,False
2020-08-12 11:45:00+00:00,3.6860421,271.3059971524222,LONG,2020-08-12 17:00:00+00:00,3.7061460000000004,2.95,0.5454,2.0055,0.4998,5.25,backtest,SOL,15m,True
2020-08-12 22:00:00+00:00,3.8150065499999997,262.22507428427116,LONG,2020-08-12 22:15:00+00:00,3.7235373000000003,-26.46,-2.3976,1.9768,0.4999,0.25,backtest,SOL,15m,False
2020-08-12 23:00:00+00:00,3.73756785,266.96313924927256,LONG,2020-08-13 00:15:00+00:00,3.8366807,23.94,2.6518,2.0221,0.4986,1.25,backtest,SOL,15m,True
2020-08-13 00:30:00+00:00,3.7857919499999997,264.208340907672,LONG,2020-08-13 01:30:00+00:00,3.70704555,-23.28,-2.0801,1.9797,0.4999,1.0,backtest,SOL,15m,False
2020-08-13 05:30:00+00:00,3.8377178999999995,260.0394779616298,LONG,2020-08-13 05:45:00+00:00,3.7439271,-26.86,-2.4439,1.9715,0.4987,0.25,backtest,SOL,15m,False
2020-08-13 07:45:00+00:00,4.08053925,243.91892778414805,LONG,2020-08-13 08:00:00+00:00,3.9513233500000005,-33.97,-3.1666,1.9591,0.4974,0.25,backtest,SOL,15m,False
2020-08-13 09:30:00+00:00,3.8752366499999997,255.9769746172937,LONG,2020-08-13 10:30:00+00:00,3.7981000000000003,-22.21,-1.9905,1.9642,0.4957,1.0,backtest,SOL,15m,False
