BACKTEST ALL COINS SUMMARY
================================================================================

Date: 2025-11-14 18:22:51
Parameters: TP=3.0%, SL=1.20%
Total combinations: 56
Successful: 56

coin timeframe status   bars  signals  trades  wins  losses   win_rate       pf           pnl     return  capital_final
 BTC       15m     OK 275044    10278    1643   479    1164  29.153987 0.936375 -51242.811362 -51.242811   48757.188638
 BTC        1h     OK  68772     3331     546   139     407  25.457875 0.818747 -53249.760397 -53.249760   46750.239603
 BTC        4h     OK  17208      906     107    23      84  21.495327 0.657705 -27149.971973 -27.149972   72850.028027
 BTC        1d     OK   2871      115       2     0       2   0.000000 0.000000  -2267.004000  -2.267004   97732.996000
 ETH       15m     OK 275044    11180    1917   496    1421  25.873761 0.813249 -92762.508542 -92.762509    7237.491458
 ETH        1h     OK  68772     3487     555   141     414  25.405405 0.806610 -54360.941571 -54.360942   45639.058429
 ETH        4h     OK  17208     1009      74    12      62  16.216216 0.453087 -31177.707969 -31.177708   68822.292031
 ETH        1d     OK   2871      132       1     0       1   0.000000 0.000000  -1140.000000  -1.140000   98860.000000
 SOL       15m     OK 183970     6926    1413   394    1019  27.883935 0.952579 -46802.636916 -46.802637   53197.363084
 SOL        1h     OK  45996     1779     317    86     231  27.129338 0.907609 -20689.721765 -20.689722   79310.278235
 SOL        4h     OK  11505      476      21     6      15  28.571429 0.980715   -336.790681  -0.336791   99663.209319
 SOL        1d     OK   1918       51       0     0       0   0.000000 0.000000      0.000000   0.000000  100000.000000
AVAX       15m     OK 179947     6587    1323   364     959  27.513228 0.958530 -55342.684771 -55.342685   44657.315229
AVAX        1h     OK  44991     1921     320    91     229  28.437500 0.975025  -6607.985936  -6.607986   93392.014064
AVAX        4h     OK  11254      535      32     9      23  28.125000 0.958101  -1073.508872  -1.073509   98926.491128
AVAX        1d     OK   1876       79       1     0       1   0.000000 0.000000  -1140.000000  -1.140000   98860.000000
 DOT       15m     OK 183241     6284    1261   346     915  27.438541 0.928819 -57178.794175 -57.178794   42821.205825
 DOT        1h     OK  45814     1774     324    77     247  23.765432 0.782052 -48735.053653 -48.735054   51264.946347
