asset,timeframe,combination,data_bars,signals_generated,total_trades,win_rate,profit_factor,avg_win,avg_loss,total_return,avg_bars_held
BTC,15m,BTC_15m,275044,3284,3945,0.27908745247148287,2.97865264307661,0.054088064351130394,-0.007029740699259516,39.55837630190076,69.75918884664132
BTC,1h,BTC_1h,68772,829,1146,0.4319371727748691,2.824277554743011,0.054538811300793126,-0.014683260500786116,17.437909007880833,45.56631762652705
BTC,4h,BTC_4h,17208,223,371,0.6199460916442049,3.0001518211006837,0.05549129564106244,-0.0301710452308787,8.508880619890466,27.722371967654986
BTC,1d,BTC_1d,2871,29,61,0.8360655737704918,3.19608477627587,0.06432604961239827,-0.10264522876814781,2.254176242550834,19.459016393442624
ETH,15m,ETH_15m,275044,3445,4356,0.33264462809917356,2.9985259965351685,0.05407348500166382,-0.008988762294152096,52.22214777831121,59.74540863177227
ETH,1h,ETH_1h,68772,873,1291,0.5019364833462432,2.8605989907396037,0.05521789975010446,-0.01948331628039409,23.272909986054607,35.89155693261038
ETH,4h,ETH_4h,17208,217,374,0.6310160427807486,2.365471994452614,0.057393229482478436,-0.041493089119026445,7.81875585943926,23.56417112299465
ETH,1d,ETH_1d,2871,26,57,0.7894736842105263,2.238001189950183,0.06304244847524133,-0.1056340733167427,1.569301301584948,20.80701754385965
SOL,15m,SOL_15m,183970,2390,3270,0.42966360856269115,2.999620188797668,0.05385088207508466,-0.013524587922939127,50.43713283921301,47.626605504587154
SOL,1h,SOL_1h,45996,613,951,0.5688748685594112,2.540716498996982,0.055464851130824694,-0.028805475737509034,18.196239409397457,29.483701366982125
SOL,4h,SOL_4h,11505,153,273,0.6959706959706959,2.1387693983949787,0.056457797382473855,-0.060427618373917295,5.711489177634891,18.05128205128205
SOL,1d,SOL_1d,1918,12,28,0.8214285714285714,3.6025161578687723,0.07673514607300935,-0.09798198161161473,1.2749984516211412,12.035714285714286
LINK,15m,LINK_15m,238797,2995,4108,0.42380720545277506,3.1982775943117376,0.054683413126162136,-0.012575925944765995,65.43660554138819,50.77702044790652
LINK,1h,LINK_1h,59707,745,1167,0.5569837189374465,2.5101797143169926,0.055530706419493994,-0.027813215210972672,21.715526908598115,30.16281062553556
LINK,4h,LINK_4h,14938,191,368,0.7255434782608695,2.7763661549190646,0.05809943716368967,-0.05532036937663222,9.925192415665297,19.875
LINK,1d,LINK_1d,2491,21,51,0.8823529411764706,4.90009738526494,0.06820110115247148,-0.10438736588821484,2.4427253565319282,16.11764705882353
LDO,15m,LDO_15m,122994,1562,2090,0.40334928229665074,2.592658851801284,0.05454220561996328,-0.014221599443415897,28.244744831689214,41.38181818181818
LDO,1h,LDO_1h,30749,426,645,0.5612403100775194,2.187451269735381,0.05388886445311734,-0.03151249431241157,10.58973304161602,24.50077519379845
LDO,4h,LDO_4h,7689,105,188,0.7127659574468085,2.0400157636693215,0.05629147451163181,-0.06847312361677597,3.8455089092527617,19.98936170212766
LDO,1d,LDO_1d,1282,15,35,0.8571428571428571,3.8859318955637985,0.08002967434447192,-0.12356831230495971,1.783048668809359,10.885714285714286
SUI,15m,SUI_15m,88531,1207,1607,0.3995021779713752,2.82083090152308,0.05361076282052094,-0.01264394648219168,22.216701375459376,45.97510889856876
SUI,1h,SUI_1h,22133,304,479,0.5803757828810021,2.695239152841114,0.05479936436360394,-0.028120753443003563,9.581951851038195,26.615866388308977
SUI,4h,SUI_4h,5534,78,142,0.676056338028169,2.177495581477858,0.057361574659356186,-0.054976512168774166,2.9777916075345834,16.239436619718308
SUI,1d,SUI_1d,923,8,18,0.8333333333333334,1.7746889554672174,0.07867521319046619,-0.22165916159024493,0.5151507130862581,12.166666666666666
HBAR,15m,HBAR_15m,214345,2552,3520,0.4446022727272727,3.1542743338006756,0.053843412327370804,-0.013664718628750806,57.55041537312802,52.015625
HBAR,1h,HBAR_1h,53593,667,1030,0.5592233009708738,2.7493826219884743,0.05642314320583797,-0.02603686692032483,20.67899290473514,30.8126213592233
HBAR,4h,HBAR_4h,13407,169,309,0.6990291262135923,2.4878152372017426,0.059790853063807436,-0.05581969111174021,7.723592988390562,20.54692556634304
HBAR,1d,HBAR_1d,2235,26,62,0.8064516129032258,2.9095003046982377,0.07013223308367067,-0.10043567872351039,2.301383509501408,13.790322580645162
ENA,15m,ENA_15m,56387,779,1117,0.4879140555058192,2.8084566614423796,0.05447634840861292,-0.01848164975979174,19.118106220093146,38.22739480752014
ENA,1h,ENA_1h,14097,197,319,0.6112852664576802,2.298416608008104,0.05618184617305496,-0.0384397169744362,6.188935098915622,20.755485893416928
ENA,4h,ENA_4h,3525,47,87,0.735632183908046,2.290775409920083,0.059119405114891214,-0.07181243959669487,2.131955816629055,15.74712643678161
ENA,1d,ENA_1d,588,3,6,1.0,0.0,0.07432639534052748,0.0,0.4459583720431649,8.333333333333334
ALGO,15m,ALGO_15m,223833,2783,3823,0.42505885430290347,3.033709209524592,0.05417988023481836,-0.013203521225734514,59.02096572741617,47.252419565786035
ALGO,1h,ALGO_1h,55965,697,1135,0.6088105726872247,3.1277386340838897,0.055242529806059655,-0.027487686015895796,25.968055504929353,31.290748898678412
ALGO,4h,ALGO_4h,14001,179,340,0.7352941176470589,2.8816339642242443,0.05769008897169166,-0.055610896155830335,9.417541588898185,20.491176470588236
ALGO,1d,ALGO_1d,2334,27,52,0.75,1.447103927197851,0.06050996856086229,-0.12544358582047285,0.729122158207482,13.096153846153847
AVAX,15m,AVAX_15m,179947,2285,3171,0.4399243140964995,3.1488613256811147,0.054216118082518694,-0.013524030133057243,51.61280720880458,46.61494796594134
AVAX,1h,AVAX_1h,44991,580,927,0.5922330097087378,2.8410137931294144,0.05515874939310387,-0.02819821472512254,19.62322825071771,29.089536138079826
AVAX,4h,AVAX_4h,11254,142,250,0.664,1.934490278242614,0.058882283172282716,-0.060151559576264904,4.7217280021926795,17.368
AVAX,1d,AVAX_1d,1876,26,63,0.8253968253968254,3.7132042494357704,0.06922821256269676,-0.08813429567070102,2.6303898008825213,14.428571428571429
DOT,15m,DOT_15m,183241,2249,2992,0.3897058823529412,3.0140126085258974,0.05382359814298225,-0.0114031658208594,41.93613464582809,51.1216577540107
DOT,1h,DOT_1h,45814,584,903,0.5625692137320044,2.9647922664425383,0.0547125494269238,-0.02373336396716762,18.419296341846092,31.754152823920265
DOT,4h,DOT_4h,11460,138,241,0.6929460580912863,2.4881941750885233,0.05577950844730423,-0.050591221471911856,5.571427521778326,21.522821576763487
DOT,1d,DOT_1d,1911,29,66,0.8181818181818182,2.308796789066168,0.064417528151016,-0.12555408862848363,1.9718974566130616,16.28787878787879
LTC,15m,LTC_15m,275055,3414,4459,0.37542049786947745,3.043722728692416,0.054426809905484576,-0.010748257111412255,61.176583726499,58.36600134559318
LTC,1h,LTC_1h,68775,852,1289,0.5453840186190846,2.8753033939168464,0.05433887798398065,-0.022671731973240686,24.914596286419265,37.22808378588053
LTC,4h,LTC_4h,17209,216,409,0.7310513447432763,3.5224577868329683,0.055223882098759516,-0.0426147199865316,11.824321549010639,23.053789731051346
LTC,1d,LTC_1d,2871,32,68,0.8235294117647058,2.323131371122963,0.06842293724475368,-0.13744682907069927,2.1823225368578147,14.102941176470589
ONDO,15m,ONDO_15m,20459,253,318,0.32075471698113206,2.5292952500134107,0.055316019308806134,-0.010327562020429726,3.4114805730854045,50.70754716981132
ONDO,1h,ONDO_1h,5115,67,110,0.6272727272727273,3.9332498396448243,0.05407608196313449,-0.023137632458579898,2.7826067246545043,30.78181818181818
ONDO,4h,ONDO_4h,1280,18,37,0.8108108108108109,4.9066460423882035,0.06115970904369493,-0.05342000146216268,1.4608512610757092,18.135135135135137
ONDO,1d,ONDO_1d,214,1,1,1.0,0.0,0.10050000000000005,0.0,0.10050000000000005,3.0
UNI,15m,UNI_15m,180441,2311,3121,0.4075616789490548,2.898727951031093,0.054774612977577145,-0.012999362646999942,45.63748617317557,48.787568087151556
UNI,1h,UNI_1h,45114,593,956,0.5941422594142259,2.980017192380064,0.05550887173381947,-0.027268436697217045,20.948885706289232,29.807531380753137
UNI,4h,UNI_4h,11285,150,282,0.7198581560283688,2.735346069962007,0.05926180008921712,-0.05567131830977306,7.632111271638995,18.624113475177303
UNI,1d,UNI_1d,1881,20,48,0.8958333333333334,3.919151744553262,0.06136985866245281,-0.13466709607011024,1.9655684421349195,11.479166666666666
